Token	POS-Tag	OOV	Id	Index	Documento
deputado	NOUN	0	11	6	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
durante	ADP	0	11	7	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
assalto	NOUN	0	11	8	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
na	ADP	0	11	9	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
avenida	NOUN	0	11	10	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
santo	PROPN	0	11	11	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
amaro	PROPN	1	11	12	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
zona	PROPN	0	11	13	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
sul	PROPN	0	11	14	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
de	ADP	0	11	15	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
sao	PROPN	1	11	16	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
paulo	PROPN	1	11	17	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
brasilurgente	PROPN	1	11	18	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
bandjornalismo	NOUN	1	11	19	ladrao e baleado por seguranca de deputado durante assalto na avenida santo amaro zona sul de sao paulo brasilurgente bandjornalismo
butia	NOUN	1	12	0	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
dois	NUM	0	12	1	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
individuos	NOUN	1	12	2	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
assaltaram	VERB	1	12	3	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
o	DET	0	12	4	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
minimercado	NOUN	1	12	5	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
oliveira	PROPN	1	12	6	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
localizado	VERB	0	12	7	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
na	ADP	0	12	8	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
avenida	NOUN	0	12	9	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
farroupilha	PROPN	1	12	10	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
bairro	PROPN	0	12	11	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
vila	PROPN	0	12	12	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
nova	ADJ	0	12	13	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
fbme6v2gikpbf	PROPN	1	12	14	butia dois individuos assaltaram o minimercado oliveira localizado na avenida farroupilha bairro vila nova fbme6v2gikpbf
copacabana	ADJ	1	13	0	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
deveria	VERB	0	13	1	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
ser	AUX	0	13	2	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
um	DET	0	13	3	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
bairro	NOUN	0	13	4	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
super	ADJ	0	13	5	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
seguro	ADJ	0	13	6	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
diante	ADV	0	13	7	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
da	DET	0	13	8	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
quantidade	NOUN	0	13	9	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
de	ADP	0	13	10	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
turistas	NOUN	0	13	11	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
que	PRON	0	13	12	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
recebe	VERB	0	13	13	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
entretanto	CCONJ	0	13	14	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
e	CCONJ	0	13	15	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
de	ADP	0	13	16	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
longe	ADV	0	13	17	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
um	NUM	0	13	18	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
dos	ADP	0	13	19	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
bairros	NOUN	0	13	20	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
mais	ADV	0	13	21	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
violentos	ADJ	0	13	22	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
com	ADP	0	13	23	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
assaltos	NOUN	1	13	24	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
uma	DET	0	13	25	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
desordem	NOUN	1	13	26	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
urbana	ADJ	0	13	27	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
sem	ADP	0	13	28	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
fim	NOUN	0	13	29	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
e	CCONJ	0	13	30	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
diversos	DET	0	13	31	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
outros	DET	0	13	32	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
crimes	NOUN	0	13	33	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
que	PRON	0	13	34	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
vergonha	NOUN	1	13	35	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
cidade	NOUN	0	13	36	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
abandonada	VERB	0	13	37	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
eduardopaes	VERB	1	13	38	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
claudiocastrorj	NOUN	1	13	39	copacabana deveria ser um bairro super seguro diante da quantidade de turistas que recebe entretanto e de longe um dos bairros mais violentos com assaltos uma desordem urbana sem fim e diversos outros crimes que vergonha cidade abandonada eduardopaes claudiocastrorj
na	ADP	0	14	0	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
manha	NOUN	1	14	1	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
desse	ADP	0	14	2	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
domingo	NOUN	0	14	3	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
24	NUM	0	14	4	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
um	DET	0	14	5	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
homem	NOUN	0	14	6	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
foi	AUX	0	14	7	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
preso	VERB	0	14	8	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
por	ADP	0	14	9	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
roubo	NOUN	0	14	10	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
apos	NOUN	0	14	11	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
ser	AUX	0	14	12	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
denunciado	VERB	1	14	13	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
pela	ADP	0	14	14	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
propria	NOUN	1	14	15	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
irma	PROPN	1	14	16	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
na	ADP	0	14	17	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
cidade	NOUN	0	14	18	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
estrutural	ADJ	0	14	19	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
ele	PRON	0	14	20	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
roubou	VERB	1	14	21	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
uma	DET	0	14	22	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
loja	NOUN	0	14	23	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
na	ADP	0	14	24	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
avenida	NOUN	0	14	25	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
luiz	PROPN	1	14	26	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
estevao	PROPN	1	14	27	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
mas	CCONJ	0	14	28	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
antes	ADV	0	14	29	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
de	ADP	0	14	30	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
sair	VERB	0	14	31	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
de	ADP	0	14	32	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
casa	NOUN	0	14	33	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
disse	VERB	0	14	34	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
a	DET	0	14	35	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
irma	PROPN	1	14	36	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
que	PRON	0	14	37	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
cometeria	VERB	1	14	38	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
o	DET	0	14	39	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
crime	NOUN	0	14	40	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
saiba	VERB	1	14	41	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
mais	ADV	0	14	42	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
em	ADP	0	14	43	na manha desse domingo 24 um homem foi preso por roubo apos ser denunciado pela propria irma na cidade estrutural ele roubou uma loja na avenida luiz estevao mas antes de sair de casa disse a irma que cometeria o crime saiba mais em
se	PRON	0	15	0	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
aproximando	VERB	1	15	1	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
de	ADP	0	15	2	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
nazare	PROPN	1	15	3	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
e	CCONJ	0	15	4	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
uma	DET	0	15	5	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
avenida	NOUN	0	15	6	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
mais	ADV	0	15	7	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
hostil	ADJ	0	15	8	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
mesmo	ADJ	0	15	9	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
recentemente	ADV	0	15	10	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
duas	NUM	0	15	11	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
motos	NOUN	1	15	12	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
me	PRON	0	15	13	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
fecharam	VERB	1	15	14	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
na	ADP	0	15	15	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
rua	NOUN	0	15	16	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
para	SCONJ	0	15	17	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
assaltar	VERB	1	15	18	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
escapei	NOUN	1	15	19	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
mas	CCONJ	0	15	20	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
roubaram	VERB	1	15	21	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
o	DET	0	15	22	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
motociclista	NOUN	1	15	23	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
na	ADP	0	15	24	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
minha	DET	0	15	25	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
frente	NOUN	0	15	26	se aproximando de nazare e uma avenida mais hostil mesmo recentemente duas motos me fecharam na rua para assaltar escapei mas roubaram o motociclista na minha frente
quase	ADV	0	16	0	quase fui assaltada na praca da se com um gringo que me chamou pra tomar cafe cara kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk que terror
fui	AUX	1	16	1	quase fui assaltada na praca da se com um gringo que me chamou pra tomar cafe cara kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk que terror
assaltada	VERB	1	16	2	quase fui assaltada na praca da se com um gringo que me chamou pra tomar cafe cara kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk que terror
na	ADP	0	16	3	quase fui assaltada na praca da se com um gringo que me chamou pra tomar cafe cara kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk que terror
praca	NOUN	1	16	4	quase fui assaltada na praca da se com um gringo que me chamou pra tomar cafe cara kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk que terror
